SPACE_NAME,BLDG,USE,SEATS,RMHRS,WSCH,CAMPUS
DUG-B6,DUG,CLASS LAB,,5.8333333333333295,0.0,UMLSOUTH
DUG-B9,DUG,CLASS LAB,,13.333333333333359,0.0,UMLSOUTH
OLS-509,OLS,CLASS LAB,,8.666666666666659,106.66666666666667,UMLNORTH
OLS-501,OLS,CLASS LAB,,7.666666666666656,45.333333333333336,UMLNORTH
OLN-519,OLN,CLASSROOM,41.0,14.666666666666702,6.75,UMLNORTH
OLS-502,OLS,CLASS LAB,,7.833333333333322,0.0,UMLNORTH
SHA-304,SHA,CLASSROOM,24.0,24.666666666666586,236.50000000000003,UMLNORTH
PER-104,PER,CLASS LAB,,5.8333333333333295,0.0,UMLNORTH
BAL-416C,BAL,CLASS LAB,,8.749999999999993,53.833333333333336,UMLNORTH
BAL-416B,BAL,CLASS LAB,,17.50000000000002,192.66666666666669,UMLNORTH
BAL-424,BAL,CLASS LAB,,8.749999999999993,113.33333333333334,UMLNORTH
SHA-302,SHA,CLASSROOM,40.0,42.91666666666679,404.5,UMLNORTH
BAL-314,BAL,CLASSROOM,70.0,32.49999999999983,795.6666666666666,UMLNORTH
HSS-160,HSS,CLASSROOM,31.0,25.833333333333236,500.66666666666674,UMLSOUTH
HSS-150,HSS,CLASSROOM,33.0,11.583333333333346,287.0,UMLSOUTH
COB-110,COB,CLASSROOM,48.0,11.583333333333346,25.5,UMLSOUTH
COB-150,COB,CLASSROOM,45.0,11.66666666666668,70.83333333333334,UMLSOUTH
OLN-218,OLN,CLASSROOM,60.0,22.08333333333329,420.0,UMLNORTH
WEE-LH3,WEE,CLASSROOM,163.0,10.750000000000007,31.5,UMLSOUTH
OLN-316,OLN,CLASSROOM,49.0,21.3333333333333,267.66666666666663,UMLNORTH
OLN-211,OLN,CLASS LAB,,8.749999999999993,85.0,UMLNORTH
OLN-209,OLN,CLASS LAB,,14.583333333333368,153.0,UMLNORTH
SHA-310,SHA,CLASSROOM,52.0,23.833333333333265,506.33333333333337,UMLNORTH
WEE-204,WEE,CLASS LAB,,8.749999999999993,170.0,UMLSOUTH
PTB-120,PTB,CLASSROOM,48.0,10.083333333333336,68.0,UMLNORTH
COB-140,COB,CLASSROOM,48.0,35.41666666666658,0.0,UMLSOUTH
OLN-308,OLN,CLASS LAB,,15.666666666666709,107.33333333333334,UMLNORTH
OLN-204,OLN,CLASSROOM,60.0,18.333333333333343,204.66666666666666,UMLNORTH
SHA-303,SHA,CLASSROOM,50.0,33.08333333333318,466.6666666666667,UMLNORTH
SHA-305,SHA,CLASSROOM,70.0,7.249999999999991,0.0,UMLNORTH
SOU-302,SOU,CLASSROOM,25.0,2.4166666666666665,0.0,UMLNORTH
SHA-306,SHA,CLASSROOM,40.0,39.166666666666686,382.66666666666674,UMLNORTH
SOU-313,SOU,CLASSROOM,20.0,22.666666666666615,289.33333333333337,UMLNORTH
SHA-301,SHA,CLASSROOM,50.0,42.16666666666677,390.3333333333333,UMLNORTH
SHA-308,SHA,CLASSROOM,24.0,28.083333333333204,319.1666666666667,UMLNORTH
HSS-120,HSS,CLASSROOM,62.0,12.583333333333353,341.0,UMLSOUTH
DAN-220,DAN,CLASSROOM,36.0,16.000000000000043,116.00000000000001,UMLNORTH
FAL-209,FAL,CLASSROOM,56.0,31.08333333333316,782.1666666666666,UMLNORTH
FAL-309,FAL,CLASSROOM,47.0,7.249999999999991,0.0,UMLNORTH
DAN-321,DAN,CLASSROOM,36.0,16.000000000000043,214.0,UMLNORTH
DAN-416,DAN,CLASS LAB,,4.833333333333333,0.0,UMLNORTH
DAN-402,DAN,CLASS LAB,,4.833333333333333,74.66666666666667,UMLNORTH
FAL-311,FAL,CLASSROOM,47.0,7.249999999999991,0.0,UMLNORTH
SHA-208,SHA,CLASSROOM,20.0,10.666666666666673,14.0,UMLNORTH
BAL-326,BAL,CLASSROOM,44.0,28.083333333333204,279.0,UMLNORTH
HSS-140,HSS,CLASSROOM,76.0,7.249999999999991,378.00000000000006,UMLSOUTH
HSS-130,HSS,CLASSROOM,75.0,12.000000000000016,945.6666666666666,UMLSOUTH
HSS-155,HSS,CLASSROOM,30.0,8.749999999999993,28.333333333333336,UMLSOUTH
PER-109,PER,CLASSROOM,20.0,7.249999999999991,0.0,UMLNORTH
HSS-165,HSS,CLASSROOM,34.0,9.75,136.0,UMLSOUTH
OLE-140,OLE,CLASS LAB,,11.000000000000009,58.66666666666667,UMLSOUTH
OLN-517,OLN,CLASSROOM,60.0,9.583333333333332,146.66666666666666,UMLNORTH
OLN-115,OLN,CLASSROOM,41.0,9.583333333333332,100.83333333333331,UMLNORTH
BAL-328,BAL,CLASSROOM,46.0,14.500000000000034,294.0,UMLNORTH
PTB-140,PTB,CLASSROOM,34.0,8.749999999999993,102.0,UMLNORTH
BAL-122,BAL,CLASS LAB,,4.833333333333333,0.0,UMLNORTH
PER-111,PER,CLASSROOM,16.0,9.583333333333332,0.0,UMLNORTH
COB-161,COB,CLASS LAB,,2.4166666666666665,0.0,UMLSOUTH
OLN-212,OLN,CLASS LAB,,7.249999999999991,0.0,UMLNORTH
PTB-110,PTB,CLASSROOM,50.0,8.749999999999993,93.5,UMLNORTH
COB-G51,COB,CLASSROOM,47.0,11.66666666666668,0.0,UMLSOUTH
